antecedent,consequent,support,confidence
{3},{9 11},0.42,0.24
{9},{3 11},0.408,0.248
{11},{3 9},0.401,0.252
{4 12},{11},0.185,0.541
{11 12},{4},0.195,0.513
{4 11},{12},0.192,0.521
{12},{4 11},0.403,0.248
{4},{11 12},0.404,0.248
{11},{4 12},0.401,0.249
{4 11},{9},0.192,0.526
{4 9},{11},0.2,0.505
{9 11},{4},0.189,0.534
{4},{9 11},0.404,0.25
{11},{4 9},0.401,0.252
{9},{4 11},0.408,0.248
{5},{2},0.407,0.428
{2},{5},0.384,0.453
{6},{2},0.398,0.402
{2},{6},0.384,0.417
{2},{8},0.384,0.471
{8},{2},0.41,0.441
{13},{2},0.409,0.438
{2},{13},0.384,0.466
{15},{2},0.42,0.46
{2},{15},0.384,0.503
{2},{16},0.384,0.482
{16},{2},0.421,0.439
{10},{2},0.405,0.43
{2},{10},0.384,0.453
{2},{1},0.384,0.401
{1},{2},0.383,0.402
{3},{2},0.42,0.429
{2},{3},0.384,0.469
{4},{2},0.404,0.428
{2},{4},0.384,0.451
{11},{2},0.401,0.426
{2},{11},0.384,0.445
{12},{2},0.403,0.442
{2},{12},0.384,0.464
{14},{2},0.389,0.432
{2},{14},0.384,0.438
{7},{2},0.384,0.409
{2},{7},0.384,0.409
{2},{9},0.384,0.435
{9},{2},0.408,0.409
{6},{5},0.398,0.452
{5},{6},0.407,0.442
{5},{8},0.407,0.472
{8},{5},0.41,0.468
{5},{13},0.407,0.459
{13},{5},0.409,0.457
{15},{5},0.42,0.452
{5},{15},0.407,0.467
{5},{16},0.407,0.472
{16},{5},0.421,0.456
{5},{10},0.407,0.474
{10},{5},0.405,0.477
{5},{1},0.407,0.457
{1},{5},0.383,0.486
{5},{3},0.407,0.469
{3},{5},0.42,0.455
{5},{4},0.407,0.447
{4},{5},0.404,0.45
{5},{11},0.407,0.445
{11},{5},0.401,0.451
{5},{12},0.407,0.452
{12},{5},0.403,0.457
{14},{5},0.389,0.455
{5},{14},0.407,0.435
{7},{5},0.384,0.469
{5},{7},0.407,0.442
{5},{9},0.407,0.479
{9},{5},0.408,0.478
{6},{8},0.398,0.465
{8},{6},0.41,0.451
{6},{13},0.398,0.45
{13},{6},0.409,0.438
{15},{6},0.42,0.44
{6},{15},0.398,0.465
{6},{16},0.398,0.5
{16},{6},0.421,0.473
{6},{10},0.398,0.477
{10},{6},0.405,0.469
{6},{1},0.398,0.45
{1},{6},0.383,0.467
{6},{3},0.398,0.44
{3},{6},0.42,0.417
{6},{4},0.398,0.445
{4},{6},0.404,0.438
{6},{11},0.398,0.435
{11},{6},0.401,0.431
{6},{12},0.398,0.482
{12},{6},0.403,0.476
{14},{6},0.389,0.432
{6},{14},0.398,0.422
{7},{6},0.384,0.409
{6},{7},0.398,0.394
{6},{9},0.398,0.432
{9},{6},0.408,0.422
{13},{8},0.409,0.477
{8},{13},0.41,0.476
{15},{8},0.42,0.433
{8},{15},0.41,0.444
{16},{8},0.421,0.48
{8},{16},0.41,0.493
{10},{8},0.405,0.437
{8},{10},0.41,0.432
{1},{8},0.383,0.449
{8},{1},0.41,0.42
{3},{8},0.42,0.493
{8},{3},0.41,0.505
{4},{8},0.404,0.463
{8},{4},0.41,0.456
{11},{8},0.401,0.466
{8},{11},0.41,0.456
{12},{8},0.403,0.476
{8},{12},0.41,0.468
{14},{8},0.389,0.476
{8},{14},0.41,0.451
{7},{8},0.384,0.409
{8},{7},0.41,0.383
{9},{8},0.408,0.48
{8},{9},0.41,0.478
{15},{13},0.42,0.455
{13},{15},0.409,0.467
{13},{16},0.409,0.46
{16},{13},0.421,0.447
{13},{10},0.409,0.455
{10},{13},0.405,0.459
{13},{1},0.409,0.445
{1},{13},0.383,0.475
{13},{3},0.409,0.479
{3},{13},0.42,0.467
{13},{4},0.409,0.457
{4},{13},0.404,0.463
{13},{11},0.409,0.472
{11},{13},0.401,0.481
{13},{12},0.409,0.465
{12},{13},0.403,0.471
{14},{13},0.389,0.465
{13},{14},0.409,0.443
{7},{13},0.384,0.443
{13},{7},0.409,0.416
{13},{9},0.409,0.457
{9},{13},0.408,0.458
{15},{16},0.42,0.471
{16},{15},0.421,0.47
{15},{10},0.42,0.452
{10},{15},0.405,0.469
{15},{1},0.42,0.445
{1},{15},0.383,0.488
{15},{3},0.42,0.455
{3},{15},0.42,0.455
{15},{4},0.42,0.431
{4},{15},0.404,0.448
{15},{11},0.42,0.457
{11},{15},0.401,0.479
{15},{12},0.42,0.457
{12},{15},0.403,0.476
{15},{14},0.42,0.438
{14},{15},0.389,0.473
{7},{15},0.384,0.484
{15},{7},0.42,0.443
{15},{9},0.42,0.462
{9},{15},0.408,0.475
{10},{16},0.405,0.521
{16},{10},0.421,0.501
{1},{16},0.383,0.478
{16},{1},0.421,0.435
{3},{16},0.42,0.481
{16},{3},0.421,0.48
{4},{16},0.404,0.46
{16},{4},0.421,0.442
{11},{16},0.401,0.464
{16},{11},0.421,0.442
{12},{16},0.403,0.486
{16},{12},0.421,0.466
{14},{16},0.389,0.478
{16},{14},0.421,0.442
{7},{16},0.384,0.474
{16},{7},0.421,0.432
{9},{16},0.408,0.468
{16},{9},0.421,0.454
{10},{1},0.405,0.454
{1},{10},0.383,0.48
{3},{10},0.42,0.471
{10},{3},0.405,0.489
{4},{10},0.404,0.426
{10},{4},0.405,0.425
{11},{10},0.401,0.454
{10},{11},0.405,0.449
{12},{10},0.403,0.452
{10},{12},0.405,0.449
{14},{10},0.389,0.47
{10},{14},0.405,0.452
{7},{10},0.384,0.458
{10},{7},0.405,0.435
{10},{9},0.405,0.491
{9},{10},0.408,0.488
{3},{1},0.42,0.448
{1},{3},0.383,0.491
{4},{1},0.404,0.401
{1},{4},0.383,0.423
{11},{1},0.401,0.429
{1},{11},0.383,0.449
{12},{1},0.403,0.414
{1},{12},0.383,0.436
{14},{1},0.389,0.427
{1},{14},0.383,0.433
{7},{1},0.384,0.406
{1},{7},0.383,0.407
{9},{1},0.408,0.431
{1},{9},0.383,0.46
{4},{3},0.404,0.45
{3},{4},0.42,0.433
{3},{11},0.42,0.471
{11},{3},0.401,0.494
{12},{3},0.403,0.489
{3},{12},0.42,0.469
{14},{3},0.389,0.468
{3},{14},0.42,0.433
{7},{3},0.384,0.451
{3},{7},0.42,0.412
{3},{9},0.42,0.481
{9},{3},0.408,0.495
{4},{11},0.404,0.475
{11},{4},0.401,0.479
{12},{4},0.403,0.459
{4},{12},0.404,0.458
{14},{4},0.389,0.437
{4},{14},0.404,0.421
{7},{4},0.384,0.44
{4},{7},0.404,0.418
{4},{9},0.404,0.495
{9},{4},0.408,0.49
{12},{11},0.403,0.484
{11},{12},0.401,0.486
{14},{11},0.389,0.424
{11},{14},0.401,0.411
{7},{11},0.384,0.448
{11},{7},0.401,0.429
{11},{9},0.401,0.471
{9},{11},0.408,0.463
{14},{12},0.389,0.45
{12},{14},0.403,0.434
{7},{12},0.384,0.453
{12},{7},0.403,0.432
{12},{9},0.403,0.422
{9},{12},0.408,0.417
{7},{14},0.384,0.438
{14},{7},0.389,0.432
{14},{9},0.389,0.473
{9},{14},0.408,0.451
{7},{9},0.384,0.44
{9},{7},0.408,0.414
